Row,Value,Numbers
131,10000011,2003,e^ia2.e^ib0.e^ic0.e^id3.
132,10000100,2010,e^ia2.e^ib0.e^ic1.e^id0.
133,10000101,2011,e^ia2.e^ib0.e^ic1.e^id1.
134,10000110,2012,e^ia2.e^ib0.e^ic1.e^id2.
135,10000111,2013,e^ia2.e^ib0.e^ic1.e^id3.
136,10001000,2020,e^ia2.e^ib0.e^ic2.e^id0.
137,10001001,2021,e^ia2.e^ib0.e^ic2.e^id1.
138,10001010,2022,e^ia2.e^ib0.e^ic2.e^id2.
139,10001011,2023,e^ia2.e^ib0.e^ic2.e^id3.
140,10001100,2030,e^ia2.e^ib0.e^ic3.e^id0.
141,10001101,2031,e^ia2.e^ib0.e^ic3.e^id1.
142,10001110,2032,e^ia2.e^ib0.e^ic3.e^id2.
143,10001111,2033,e^ia2.e^ib0.e^ic3.e^id3.
144,10010000,2100,e^ia2.e^ib1.e^ic0.e^id0.
145,10010001,2101,e^ia2.e^ib1.e^ic0.e^id1.
146,10010010,2102,e^ia2.e^ib1.e^ic0.e^id2.
147,10010011,2103,e^ia2.e^ib1.e^ic0.e^id3.
148,10010100,2110,e^ia2.e^ib1.e^ic1.e^id0.
149,10010101,2111,e^ia2.e^ib1.e^ic1.e^id1.
150,10010110,2112,e^ia2.e^ib1.e^ic1.e^id2.
151,10010111,2113,e^ia2.e^ib1.e^ic1.e^id3.
152,10011000,2120,e^ia2.e^ib1.e^ic2.e^id0.
153,10011001,2121,e^ia2.e^ib1.e^ic2.e^id1.
154,10011010,2122,e^ia2.e^ib1.e^ic2.e^id2.
155,10011011,2123,e^ia2.e^ib1.e^ic2.e^id3.
156,10011100,2130,e^ia2.e^ib1.e^ic3.e^id0.
157,10011101,2131,e^ia2.e^ib1.e^ic3.e^id1.
158,10011110,2132,e^ia2.e^ib1.e^ic3.e^id2.
159,10011111,2133,e^ia2.e^ib1.e^ic3.e^id3.
160,10100000,2200,e^ia2.e^ib2.e^ic0.e^id0.
161,10100001,2201,e^ia2.e^ib2.e^ic0.e^id1.
162,10100010,2202,e^ia2.e^ib2.e^ic0.e^id2.
163,10100011,2203,e^ia2.e^ib2.e^ic0.e^id3.
164,10100100,2210,e^ia2.e^ib2.e^ic1.e^id0.
165,10100101,2211,e^ia2.e^ib2.e^ic1.e^id1.
166,10100110,2212,e^ia2.e^ib2.e^ic1.e^id2.
167,10100111,2213,e^ia2.e^ib2.e^ic1.e^id3.
168,10101000,2220,e^ia2.e^ib2.e^ic2.e^id0.
169,10101001,2221,e^ia2.e^ib2.e^ic2.e^id1.
170,10101010,2222,e^ia2.e^ib2.e^ic2.e^id2.
171,10101011,2223,e^ia2.e^ib2.e^ic2.e^id3.
172,10101100,2230,e^ia2.e^ib2.e^ic3.e^id0.
173,10101101,2231,e^ia2.e^ib2.e^ic3.e^id1.
174,10101110,2232,e^ia2.e^ib2.e^ic3.e^id2.
175,10101111,2233,e^ia2.e^ib2.e^ic3.e^id3.
176,10110000,2300,e^ia2.e^ib3.e^ic0.e^id0.
177,10110001,2301,e^ia2.e^ib3.e^ic0.e^id1.
178,10110010,2302,e^ia2.e^ib3.e^ic0.e^id2.
179,10110011,2303,e^ia2.e^ib3.e^ic0.e^id3.
180,10110100,2310,e^ia2.e^ib3.e^ic1.e^id0.
181,10110101,2311,e^ia2.e^ib3.e^ic1.e^id1.
182,10110110,2312,e^ia2.e^ib3.e^ic1.e^id2.
183,10110111,2313,e^ia2.e^ib3.e^ic1.e^id3.
184,10111000,2320,e^ia2.e^ib3.e^ic2.e^id0.
185,10111001,2321,e^ia2.e^ib3.e^ic2.e^id1.
186,10111010,2322,e^ia2.e^ib3.e^ic2.e^id2.
187,10111011,2323,e^ia2.e^ib3.e^ic2.e^id3.
188,10111100,2330,e^ia2.e^ib3.e^ic3.e^id0.
189,10111101,2331,e^ia2.e^ib3.e^ic3.e^id1.
190,10111110,2332,e^ia2.e^ib3.e^ic3.e^id2.
191,10111111,2333,e^ia2.e^ib3.e^ic3.e^id3.
192,11000000,3000,e^ia3.e^ib0.e^ic0.e^id0.
193,11000001,3001,e^ia3.e^ib0.e^ic0.e^id1.
194,11000010,3002,e^ia3.e^ib0.e^ic0.e^id2.
195,11000011,3003,e^ia3.e^ib0.e^ic0.e^id3.
196,11000100,3010,e^ia3.e^ib0.e^ic1.e^id0.
197,11000101,3011,e^ia3.e^ib0.e^ic1.e^id1.
198,11000110,3012,e^ia3.e^ib0.e^ic1.e^id2.
199,11000111,3013,e^ia3.e^ib0.e^ic1.e^id3.
200,11001000,3020,e^ia3.e^ib0.e^ic2.e^id0.
201,11001001,3021,e^ia3.e^ib0.e^ic2.e^id1.
202,11001010,3022,e^ia3.e^ib0.e^ic2.e^id2.
203,11001011,3023,e^ia3.e^ib0.e^ic2.e^id3.
204,11001100,3030,e^ia3.e^ib0.e^ic3.e^id0.
205,11001101,3031,e^ia3.e^ib0.e^ic3.e^id1.
206,11001110,3032,e^ia3.e^ib0.e^ic3.e^id2.
207,11001111,3033,e^ia3.e^ib0.e^ic3.e^id3.
208,11010000,3100,e^ia3.e^ib1.e^ic0.e^id0.
209,11010001,3101,e^ia3.e^ib1.e^ic0.e^id1.
210,11010010,3102,e^ia3.e^ib1.e^ic0.e^id2.
211,11010011,3103,e^ia3.e^ib1.e^ic0.e^id3.
212,11010100,3110,e^ia3.e^ib1.e^ic1.e^id0.
213,11010101,3111,e^ia3.e^ib1.e^ic1.e^id1.
214,11010110,3112,e^ia3.e^ib1.e^ic1.e^id2.
215,11010111,3113,e^ia3.e^ib1.e^ic1.e^id3.
216,11011000,3120,e^ia3.e^ib1.e^ic2.e^id0.
217,11011001,3121,e^ia3.e^ib1.e^ic2.e^id1.
218,11011010,3122,e^ia3.e^ib1.e^ic2.e^id2.
219,11011011,3123,e^ia3.e^ib1.e^ic2.e^id3.
220,11011100,3130,e^ia3.e^ib1.e^ic3.e^id0.
221,11011101,3131,e^ia3.e^ib1.e^ic3.e^id1.
222,11011110,3132,e^ia3.e^ib1.e^ic3.e^id2.
223,11011111,3133,e^ia3.e^ib1.e^ic3.e^id3.
224,11100000,3200,e^ia3.e^ib2.e^ic0.e^id0.
225,11100001,3201,e^ia3.e^ib2.e^ic0.e^id1.
226,11100010,3202,e^ia3.e^ib2.e^ic0.e^id2.
227,11100011,3203,e^ia3.e^ib2.e^ic0.e^id3.
228,11100100,3210,e^ia3.e^ib2.e^ic1.e^id0.
229,11100101,3211,e^ia3.e^ib2.e^ic1.e^id1.
230,11100110,3212,e^ia3.e^ib2.e^ic1.e^id2.
231,11100111,3213,e^ia3.e^ib2.e^ic1.e^id3.
232,11101000,3220,e^ia3.e^ib2.e^ic2.e^id0.
233,11101001,3221,e^ia3.e^ib2.e^ic2.e^id1.
234,11101010,3222,e^ia3.e^ib2.e^ic2.e^id2.
235,11101011,3223,e^ia3.e^ib2.e^ic2.e^id3.
236,11101100,3230,e^ia3.e^ib2.e^ic3.e^id0.
237,11101101,3231,e^ia3.e^ib2.e^ic3.e^id1.
238,11101110,3232,e^ia3.e^ib2.e^ic3.e^id2.
239,11101111,3233,e^ia3.e^ib2.e^ic3.e^id3.
240,11110000,3300,e^ia3.e^ib3.e^ic0.e^id0.
241,11110001,3301,e^ia3.e^ib3.e^ic0.e^id1.
242,11110010,3302,e^ia3.e^ib3.e^ic0.e^id2.
243,11110011,3303,e^ia3.e^ib3.e^ic0.e^id3.
244,11110100,3310,e^ia3.e^ib3.e^ic1.e^id0.
245,11110101,3311,e^ia3.e^ib3.e^ic1.e^id1.
246,11110110,3312,e^ia3.e^ib3.e^ic1.e^id2.
247,11110111,3313,e^ia3.e^ib3.e^ic1.e^id3.
248,11111000,3320,e^ia3.e^ib3.e^ic2.e^id0.
249,11111001,3321,e^ia3.e^ib3.e^ic2.e^id1.
250,11111010,3322,e^ia3.e^ib3.e^ic2.e^id2.
251,11111011,3323,e^ia3.e^ib3.e^ic2.e^id3.
252,11111100,3330,e^ia3.e^ib3.e^ic3.e^id0.
253,11111101,3331,e^ia3.e^ib3.e^ic3.e^id1.
254,11111110,3332,e^ia3.e^ib3.e^ic3.e^id2.
255,11111111,3333,e^ia3.e^ib3.e^ic3.e^id3.
